protection_level,term,underlying_asset,protection_type,participation_rate,year,volatility,interest_rate,funding_spread,funding_source
0.15,1.0,S&P 500,Buffer,1.0672468993475448,1994,0.1392551585984608,0.07069987991333,0.015,default
0.2,1.0,S&P 500,Buffer,1.0479340588091854,1994,0.1392551585984608,0.07069987991333,0.015,default
0.05,1.0,S&P 500,Buffer,1.2600731845553985,1995,0.1238876983854505,0.065639721159916,0.015,default
0.1,1.0,S&P 500,Buffer,1.1579252827700717,1995,0.1238876983854505,0.065639721159916,0.015,default
0.15,1.0,S&P 500,Buffer,1.1150123631126525,1995,0.1238876983854505,0.065639721159916,0.015,default
0.2,1.0,S&P 500,Buffer,1.101287794725207,1995,0.1238876983854505,0.065639721159916,0.015,default
0.05,1.0,S&P 500,Buffer,1.1117236831203852,1996,0.1644216532970038,0.0642762151087422,0.0083,FRED TED
0.1,1.0,S&P 500,Buffer,0.9791625209619392,1996,0.1644216532970038,0.0642762151087422,0.0083,FRED TED
0.15,1.0,S&P 500,Buffer,0.9026501024499353,1996,0.1644216532970038,0.0642762151087422,0.0083,FRED TED
0.2,1.0,S&P 500,Buffer,0.8648110333601673,1996,0.1644216532970038,0.0642762151087422,0.0083,FRED TED
0.05,1.0,S&P 500,Buffer,1.0596439126017985,1997,0.2237857710796854,0.0633849198913574,0.0079233463035019,FRED TED
0.1,1.0,S&P 500,Buffer,0.9143244207692841,1997,0.2237857710796854,0.0633849198913574,0.0079233463035019,FRED TED
0.15,1.0,S&P 500,Buffer,0.8110990187853816,1997,0.2237857710796854,0.0633849198913574,0.0079233463035019,FRED TED
0.2,1.0,S&P 500,Buffer,0.7436404549626165,1997,0.2237857710796854,0.0633849198913574,0.0079233463035019,FRED TED
0.05,1.0,S&P 500,Buffer,1.0835644443892403,1998,0.256029761707972,0.0524876000976562,0.0127770992366412,FRED TED
0.1,1.0,S&P 500,Buffer,0.9218212329834822,1998,0.256029761707972,0.0524876000976562,0.0127770992366412,FRED TED
0.15,1.0,S&P 500,Buffer,0.7985636888371024,1998,0.256029761707972,0.0524876000976562,0.0127770992366412,FRED TED
0.2,1.0,S&P 500,Buffer,0.7103637349202548,1998,0.256029761707972,0.0524876000976562,0.0127770992366412,FRED TED
0.05,1.0,S&P 500,Buffer,1.1148683245132773,1999,0.2437297620470561,0.0563485200119018,0.0156924242424242,FRED TED
0.1,1.0,S&P 500,Buffer,0.9581820769249996,1999,0.2437297620470561,0.0563485200119018,0.0156924242424242,FRED TED
